Organization Name,Industries,Food and Restaurant Dummy,High Tech Dummy,Headquarters Regions,Founded Date,Founded Year,Founders,Number of Investors,Patents Granted,Trademarks Registered,Total Funding Amount,Number of Funding Rounds,Closed Dummy,Number of Events,Number of Articles,Diversity Spotlight Dummy,Page Views / Visit,Announced Date,Headquarters Location,Close Date,Organization Name.1,America Dummy,Asia Dummy,Middle East Dummy,Financing for entrepreneurs,Governmental support and policies,Taxes and bureaucracy,Governmental programs,Basic school entrepreneurial education and training,Post school entrepreneurial education and training,R&D transfer,Commercial and professional infrastructure,Internal market dynamics,Internal market openness,Physical and services infrastructure,Cultural and social norms,Founders_Cleaned,Repeat_Founder
SustainKart,"E-Commerce, Marketplace, Retail, Sustainability",0,1,Asia-Pacific (APAC),1/26/2021 0:00,2021,"Kanthi Dutt, Shilpa Reddy",6,0,0,500000,2,1,0,29,0,1,—,"Hyderabad, Andhra Pradesh, India",2/1/2025 0:00,India,0,1,0,4.96,5.31,4.69,4.83,3.77,4.47,4.38,5.05,6.23,4.8,6.41,5.27,"['Kanthi Dutt', 'Shilpa Reddy']",0
Alpha Exploration Co,SaaS,0,1,"Europe, Middle East, and Africa (EMEA)",2/1/2021 0:00,2021,Henry Joseph-Grant,1,0,0,—,1,1,0,8,0,—,—,"Belfast, Belfast, United Kingdom",1/24/2023 0:00,United Kingdom,0,0,0,5.15,4.23,5.59,4.32,3.2,4.96,4.21,5.84,4.94,5.51,6.53,5.34,['Henry Joseph-Grant'],0
Zyper,"Advertising Platforms, Brand Marketing, Loyalty Programs, Machine Learning, Software",0,1,"San Francisco Bay Area, West Coast, Western US",2/2/2021 0:00,2021,Amber Atherton,9,0,0,8620000,3,1,1,6,1,1,—,"San Francisco, California, United States",2021,United States,1,0,0,6.2,4.2,5.25,4.15,3.18,5.01,4.68,6.41,5.59,4.7,7.49,7.04,['Amber Atherton'],0
DingoDot,"Accounting, Artificial Intelligence (AI), Banking, Finance, FinTech, Freelance, Machine Learning, Mobile Apps, SaaS, Software",0,1,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2/4/2021 0:00,2021,"Peter Capkovic, Peter Fusek",3,0,1,507000,2,1,0,3,0,—,—,"Berlin, Berlin, Germany",—,Germany,0,0,0,5.33,4.37,4.69,6.35,2.83,5.15,4.88,6.26,5.28,4.97,6.07,4.6,"['Peter Capkovic', 'Peter Fusek']",0
KuKu Meal,"Food and Beverage, Food Delivery, Restaurants",1,0,"Dallas/Fort Worth Metroplex, Southern US",2/4/2021 0:00,2021,"Anna Mikutskaya, Isaac Shteierman",2,0,0,187500,1,1,0,0,1,—,—,"Dallas, Texas, United States",—,United States,1,0,0,6.2,4.2,5.25,4.15,3.18,5.01,4.68,6.41,5.59,4.7,7.49,7.04,"['Anna Mikutskaya', 'Isaac Shteierman']",0
Forte Protein,"Biotechnology, Food Processing, Sustainability",1,1,"East Coast, Northeastern US",3/1/2021 0:00,2021,—,2,0,0,—,2,1,0,1,0,—,—,"Trumansburg, New York, United States",2/1/2025 0:00,United States,1,0,0,6.2,4.2,5.25,4.15,3.18,5.01,4.68,6.41,5.59,4.7,7.49,7.04,[],0
Pragma,Software,0,1,"Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",3/1/2021 0:00,2021,"Amir Konigsberg, Lior Shkiller",3,0,0,2800000,1,1,0,0,0,—,—,"Tel Aviv, Tel Aviv, Israel",3/1/2024 0:00,Israel,0,0,1,5.47,3.44,3.92,4.13,3.16,4.54,4.74,6.33,4.29,3.88,6.65,7.94,"['Amir Konigsberg', 'Lior Shkiller']",0
Hit Selections,"Digital Marketing, Independent Music, Marketing, Media and Entertainment, Music, Music Label, Social Media Advertising, Social Media Management, Social Media Marketing",0,1,"Greater Atlanta Area, East Coast, Southern US",3/1/2021 0:00,2021,Mia Chapman,1,0,0,—,1,1,0,0,1,—,—,"Atlanta, Georgia, United States",—,United States,1,0,0,6.2,4.2,5.25,4.15,3.18,5.01,4.68,6.41,5.59,4.7,7.49,7.04,['Mia Chapman'],0
kitchX,"Architecture, Construction, Home Renovation, Retail Technology",0,1,"European Union (EU), Europe, Middle East, and Africa (EMEA)",3/23/2021 0:00,2021,"Lasse Lung, Marco Dassisti",1,0,1,—,2,1,0,0,0,—,—,"Düsseldorf, Nordrhein-Westfalen, Germany",8/21/2023 0:00,Germany,0,0,0,5.33,4.37,4.69,6.35,2.83,5.15,4.88,6.26,5.28,4.97,6.07,4.6,"['Lasse Lung', 'Marco Dassisti']",0
Fundid,"Financial Services, FinTech, Micro Lending, Small and Medium Businesses",0,1,Western US,4/1/2021 0:00,2021,Stefanie Sample,4,0,1,5250000,2,1,0,9,1,1,—,"Missoula, Montana, United States",2025,United States,1,0,0,6.2,4.2,5.25,4.15,3.18,5.01,4.68,6.41,5.59,4.7,7.49,7.04,['Stefanie Sample'],0
BlueCrest Metals,—,0,0,"San Francisco Bay Area, West Coast, Western US",4/1/2021 0:00,2021,"Brenton Avery, Mark Avery",2,0,0,—,1,1,0,0,0,—,—,"San Francisco, California, United States",5/16/2024 0:00,United States,1,0,0,6.2,4.2,5.25,4.15,3.18,5.01,4.68,6.41,5.59,4.7,7.49,7.04,"['Brenton Avery', 'Mark Avery']",0
Thepeer,"Financial Services, Information Technology, Software",0,1,"Greater Philadelphia Area, East Coast, Southern US",4/1/2021 0:00,2021,"Chike Ononye, Kosisochukwu Ononye, Michael Okoh",12,0,0,2320000,2,1,0,23,0,1.5,—,"Newark, Delaware, United States",4/1/2024 0:00,United States,1,0,0,6.2,4.2,5.25,4.15,3.18,5.01,4.68,6.41,5.59,4.7,7.49,7.04,"['Chike Ononye', 'Kosisochukwu Ononye', 'Michael Okoh']",0
VALLAI,"Big Data, Cloud Data Services, Collaboration, SaaS, Software",0,1,"European Union (EU), Europe, Middle East, and Africa (EMEA)",4/1/2021 0:00,2021,"Charlotte Ledoux, Fahim Maktout, Fouad Talaouit-Mockli, Omar Hayak",1,0,0,120000,1,1,0,1,0,—,—,"Paris, Ile-de-France, France",2023,France,0,0,0,5.65,6.27,5.35,5.89,2.89,5.66,4.72,5.63,3.36,4.73,7.15,4.28,"['Charlotte Ledoux', 'Fahim Maktout', 'Fouad Talaouit-Mockli', 'Omar Hayak']",0
Echoliv,"Artificial Intelligence (AI), Biotechnology, Health Care, Software",0,1,"European Union (EU), Europe, Middle East, and Africa (EMEA)",4/1/2021 0:00,2021,"Jules Bayet, Victor Neuillet",3,0,0,210000,3,1,0,0,0,—,—,"Paris, Ile-de-France, France",2023,France,0,0,0,5.65,6.27,5.35,5.89,2.89,5.66,4.72,5.63,3.36,4.73,7.15,4.28,"['Jules Bayet', 'Victor Neuillet']",0
Voiceloft,"Artificial Intelligence (AI), Language Learning, Software",0,1,"Greater Philadelphia Area, East Coast, Southern US",4/11/2021 0:00,2021,—,1,0,0,—,1,1,0,0,0,1,—,"Middletown, Delaware, United States",—,United States,1,0,0,6.2,4.2,5.25,4.15,3.18,5.01,4.68,6.41,5.59,4.7,7.49,7.04,[],0
Rask.app,"Delivery, Health Care, Pharmaceutical",1,1,"Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)",5/1/2021 0:00,2021,—,1,0,0,110000,2,1,0,0,0,—,—,"Oslo, Oslo, Norway",—,Norway,0,0,0,5.1,4.36,6.78,6.4,5.41,5.47,5.68,6.94,3.04,5.35,8,6.13,[],0
Chewbox Inc.,"SaaS, Software",0,1,"Asia-Pacific (APAC), Western US",5/17/2021 0:00,2021,"Kim Gaston, Solomon Acosta",1,0,0,100000,1,1,0,0,1,1,—,"Honolulu, Hawaii, United States",2025,United States,1,0,0,6.2,4.2,5.25,4.15,3.18,5.01,4.68,6.41,5.59,4.7,7.49,7.04,"['Kim Gaston', 'Solomon Acosta']",0
Glimpay,"Financial Services, FinTech",0,1,"San Francisco Bay Area, West Coast, Western US",6/1/2021 0:00,2021,—,1,0,0,120000,1,1,0,0,0,—,—,"San Francisco, California, United States",12/1/2023 0:00,United States,1,0,0,6.2,4.2,5.25,4.15,3.18,5.01,4.68,6.41,5.59,4.7,7.49,7.04,[],0
Billi,FinTech,0,1,—,6/1/2021 0:00,2021,"Daniel Barton, Tyrone Sinclair",1,0,0,—,1,1,0,2,0,—,—,"Victoria, British Columbia, Canada",5/21/2023 0:00,Canada,0,0,0,5.12,4.62,5.92,4.73,4.03,4.71,4.2,5.95,4.58,5.1,6.59,5.65,"['Daniel Barton', 'Tyrone Sinclair']",0
Envoy,"Blockchain, Collectibles, Cryptocurrency, Digital Entertainment",0,1,"European Union (EU), Europe, Middle East, and Africa (EMEA)",6/1/2021 0:00,2021,"Bram Verstraeten, Perry van de Mosselaar, Solidity Ventures",1,0,0,2500000,1,1,0,3,0,—,—,"Willemstad, Noord-Brabant, The Netherlands",4/1/2022 0:00,Netherlands,0,0,0,6.68,5.84,6.82,6.43,5.81,6.07,5.61,6.74,4.97,6.48,8.01,6.71,"['Bram Verstraeten', 'Perry van de Mosselaar', 'Solidity Ventures']",0
The Outfit,"E-Commerce, Fashion, Information Technology",0,0,"European Union (EU), Europe, Middle East, and Africa (EMEA)",6/10/2021 0:00,2021,"Ciprian Dudulea, Horia Stupu, Șerban Buliga",2,0,0,1050000,2,1,0,4,0,—,—,"Bucharest, Bucuresti, Romania",12/1/2022 0:00,Romania,0,0,0,4.04,3.11,4.09,3.11,2.52,3.89,2.68,5.49,4.87,4.31,5.82,3.69,"['Ciprian Dudulea', 'Horia Stupu', 'Șerban Buliga']",0
Revonate,"Construction, Information Technology, Professional Services, Software",0,1,Western US,6/15/2021 0:00,2021,"Gabriel Blanchet, Jefferson Sanchez, Paul Hlatky",7,0,0,—,2,1,0,0,0,—,—,"Boise, Idaho, United States",9/1/2023 0:00,United States,1,0,0,6.2,4.2,5.25,4.15,3.18,5.01,4.68,6.41,5.59,4.7,7.49,7.04,"['Gabriel Blanchet', 'Jefferson Sanchez', 'Paul Hlatky']",1
Via Exchange,"Blockchain, Cryptocurrency, Information Services, Information Technology, Open Source, Software, Web3",0,1,"Europe, Middle East, and Africa (EMEA)",7/1/2021 0:00,2021,"Daniil Okhlopkov, Serafim Korablev",2,0,0,—,1,1,0,0,0,1.22,—,"London, England, United Kingdom",3/1/2024 0:00,United Kingdom,0,0,0,5.15,4.23,5.59,4.32,3.2,4.96,4.21,5.84,4.94,5.51,6.53,5.34,"['Daniil Okhlopkov', 'Serafim Korablev']",0
FastDisruption,"Consulting, Financial Services, Information Technology",0,0,"European Union (EU), Europe, Middle East, and Africa (EMEA)",7/1/2021 0:00,2021,Arkadiusz Rzepka,1,0,0,—,1,1,0,0,0,—,—,"Berlin, Berlin, Germany",1/16/2023 0:00,Germany,0,0,0,5.33,4.37,4.69,6.35,2.83,5.15,4.88,6.26,5.28,4.97,6.07,4.6,['Arkadiusz Rzepka'],0
CartUp AI,"Artificial Intelligence (AI), E-Commerce, Generative AI, Software",0,1,"San Francisco Bay Area, West Coast, Western US",8/1/2021 0:00,2021,"Arvind Rapaka, Matt Carlson, Srikanth Tirupathi",1,0,0,500000,2,1,0,0,0,1.17,—,"San Francisco, California, United States",2/28/2025 0:00,United States,1,0,0,6.2,4.2,5.25,4.15,3.18,5.01,4.68,6.41,5.59,4.7,7.49,7.04,"['Arvind Rapaka', 'Matt Carlson', 'Srikanth Tirupathi']",0
Atmos AI,"Environmental Consulting, Finance, Software",0,1,Southern US,8/30/2021 0:00,2021,Maximilian Mona,4,0,0,1675000,1,1,0,4,0,1,—,"Nashville, Tennessee, United States",2/20/2024 0:00,United States,1,0,0,6.2,4.2,5.25,4.15,3.18,5.01,4.68,6.41,5.59,4.7,7.49,7.04,['Maximilian Mona'],0
Lazerpay,"Blockchain, Cryptocurrency, Financial Services, Payments",0,1,"Greater Philadelphia Area, East Coast, Southern US",9/1/2021 0:00,2021,"Abdulfatai Suleiman, Njoku Emmanuel, Prosper Ubi",3,0,0,100000,2,1,0,10,0,1.02,—,"New Castle, Delaware, United States",4/13/2023 0:00,United States,1,0,0,6.2,4.2,5.25,4.15,3.18,5.01,4.68,6.41,5.59,4.7,7.49,7.04,"['Abdulfatai Suleiman', 'Njoku Emmanuel', 'Prosper Ubi']",0
BitVerify,"Asset Management, Blockchain, Credit, Financial Services, FinTech",0,1,Midwestern US,9/1/2021 0:00,2021,Jordan Boesch,2,0,0,100000,1,1,0,0,0,—,—,"Lincoln, Nebraska, United States",12/1/2022 0:00,United States,1,0,0,6.2,4.2,5.25,4.15,3.18,5.01,4.68,6.41,5.59,4.7,7.49,7.04,['Jordan Boesch'],0
ShoppingOS,"E-Commerce, Retail",0,1,"Europe, Middle East, and Africa (EMEA)",9/15/2021 0:00,2021,"Elijah Woodstock, Victor Colta, ww www",1,0,0,—,1,1,0,0,0,—,—,"London, England, United Kingdom",7/2/2024 0:00,United Kingdom,0,0,0,5.15,4.23,5.59,4.32,3.2,4.96,4.21,5.84,4.94,5.51,6.53,5.34,"['Elijah Woodstock', 'Victor Colta', 'ww www']",0
Whirl,Dating,0,0,"Greater Atlanta Area, East Coast, Southern US",9/18/2021 0:00,2021,Ted Middleton,1,0,1,120000,1,1,0,1,0,—,—,"Atlanta, Georgia, United States",5/31/2023 0:00,United States,1,0,0,6.2,4.2,5.25,4.15,3.18,5.01,4.68,6.41,5.59,4.7,7.49,7.04,['Ted Middleton'],0
Dunbar,"Career Planning, Online Portals, Professional Networking",0,1,"European Union (EU), Europe, Middle East, and Africa (EMEA)",10/1/2021 0:00,2021,"Ramzi Rizk, Rino Montiel",1,0,1,—,1,1,0,0,0,—,—,"Berlin, Berlin, Germany",1/1/2025 0:00,Germany,0,0,0,5.33,4.37,4.69,6.35,2.83,5.15,4.88,6.26,5.28,4.97,6.07,4.6,"['Ramzi Rizk', 'Rino Montiel']",0
Hi Shopping,—,0,0,Asia-Pacific (APAC),10/1/2021 0:00,2021,Rohan Gupta,1,0,0,—,3,1,0,0,0,—,—,"Delhi, Delhi, India",2024,India,0,1,0,4.96,5.31,4.69,4.83,3.77,4.47,4.38,5.05,6.23,4.8,6.41,5.27,['Rohan Gupta'],0
Benefits,"Apps, Gift Card, Loyalty Programs, Software",0,1,"Greater Los Angeles Area, West Coast, Western US",10/1/2021 0:00,2021,"Khasan Erkenov, Vagan Abel",1,0,0,200000,2,1,0,0,0,—,—,"Walnut, California, United States",3/1/2023 0:00,United States,1,0,0,6.2,4.2,5.25,4.15,3.18,5.01,4.68,6.41,5.59,4.7,7.49,7.04,"['Khasan Erkenov', 'Vagan Abel']",0
Farie,"Automotive, Autonomous Vehicles, Delivery",1,0,"Europe, Middle East, and Africa (EMEA)",10/8/2021 0:00,2021,—,1,0,0,"CHF4,000,000",1,1,0,0,0,1,—,"Zürich, Zurich, Switzerland",—,Switzerland,0,0,0,5.79,5.11,6.34,6.18,3.62,4.93,6.1,6.07,3.48,5.52,7.93,5.34,[],0
Superdao,"Blockchain, Software, Web3",0,1,"San Francisco Bay Area, West Coast, Western US",10/11/2021 0:00,2021,Yury Lifshits,24,0,0,11500000,2,1,0,1,0,1,—,"San Francisco, California, United States",12/12/2023 0:00,United States,1,0,0,6.2,4.2,5.25,4.15,3.18,5.01,4.68,6.41,5.59,4.7,7.49,7.04,['Yury Lifshits'],0
OpenContext,"Information Technology, SaaS, Software",0,1,"West Coast, Western US",10/13/2021 0:00,2021,"Alice Chen, Beth Fuller, Brian Walter",1,0,1,4500000,2,1,0,0,1,1,—,"Portland, Oregon, United States",4/1/2024 0:00,United States,1,0,0,6.2,4.2,5.25,4.15,3.18,5.01,4.68,6.41,5.59,4.7,7.49,7.04,"['Alice Chen', 'Beth Fuller', 'Brian Walter']",0
Newcon,"Content Creators, Education, Media and Entertainment, Software",0,1,"Greater Philadelphia Area, East Coast, Southern US",11/1/2021 0:00,2021,Cephas Ndubueze,10,0,0,—,1,1,0,0,0,—,—,"Wilmington, Delaware, United States",2/1/2025 0:00,United States,1,0,0,6.2,4.2,5.25,4.15,3.18,5.01,4.68,6.41,5.59,4.7,7.49,7.04,['Cephas Ndubueze'],0
"3D VIRTUAL TECHNOLOGIES, LLC",—,0,0,Western US,11/7/2021 0:00,2021,Sarah Wegienka,2,0,0,105000000,1,1,0,0,1,—,—,"Cheyenne, Wyoming, United States",9/22/2023 0:00,United States,1,0,0,6.2,4.2,5.25,4.15,3.18,5.01,4.68,6.41,5.59,4.7,7.49,7.04,['Sarah Wegienka'],0
Respct,"Gaming, Metaverse, Video Games, Web Design, Web3",0,0,Asia-Pacific (APAC),12/1/2021 0:00,2021,"Srijan Jain, Utsav Singla",2,0,0,—,3,1,0,0,0,—,—,"Delhi, Delhi, India",12/1/2023 0:00,India,0,1,0,4.96,5.31,4.69,4.83,3.77,4.47,4.38,5.05,6.23,4.8,6.41,5.27,"['Srijan Jain', 'Utsav Singla']",0
Mana,—,0,0,"Greater Miami Area, East Coast, Southern US",12/1/2021 0:00,2021,—,1,0,0,125000,1,1,0,0,0,—,—,"Miami, Florida, United States",6/1/2022 0:00,United States,1,0,0,6.2,4.2,5.25,4.15,3.18,5.01,4.68,6.41,5.59,4.7,7.49,7.04,[],0
Clouddrop,"EdTech, Education, Information Technology, Software",0,1,"East Coast, Southern US",12/17/2021 0:00,2021,Isabelle Beneton,2,0,0,70000000,2,1,0,0,0,—,—,"Fort Myers, Florida, United States",12/1/2024 0:00,United States,1,0,0,6.2,4.2,5.25,4.15,3.18,5.01,4.68,6.41,5.59,4.7,7.49,7.04,['Isabelle Beneton'],0
Sentire,"Artificial Intelligence (AI), Computer Vision, Drones, Machine Learning, Robotics",0,1,—,1/1/2022 0:00,2022,Mahsoo Salimi,3,2,1,—,3,1,0,0,0,—,—,"Vancouver, British Columbia, Canada",5/1/2024 0:00,Canada,0,0,0,5.19,5.23,5.83,5.58,3.39,4.84,4.73,5.58,4.79,4.6,6.5,5.73,['Mahsoo Salimi'],0
Gama Labs,"Blockchain, Cryptocurrency",0,1,Western US,1/1/2022 0:00,2022,"Anıl Durmus, Deniz Turkoglu",1,0,0,—,1,1,0,0,0,—,—,"Sheridan, Wyoming, United States",3/11/2023 0:00,United States,1,0,0,6,3.85,4.78,4.04,3.53,4.71,4.13,6.35,5.37,4.86,7.44,7.04,"['Anıl Durmus', 'Deniz Turkoglu']",0
Selva,"Information Services, Internet, Online Portals, Social Media",0,0,"Greater New York Area, East Coast, Northeastern US",1/1/2022 0:00,2022,"Alex Washburne, Andrew Schwartz, Anthony Cortese",1,0,0,125000,1,1,0,1,0,—,—,"New York, New York, United States",—,United States,1,0,0,6,3.85,4.78,4.04,3.53,4.71,4.13,6.35,5.37,4.86,7.44,7.04,"['Alex Washburne', 'Andrew Schwartz', 'Anthony Cortese']",0
Tjufoo,"Consumer, Retail",0,1,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",1/1/2022 0:00,2022,"Aldrian Foo, TJ Tham",3,0,0,—,1,1,0,9,0,3.71,—,"Jakarta, Jakarta Raya, Indonesia",—,Indonesia,0,1,0,5.99,6.16,6.08,5.2,4.67,6.18,4.51,5.38,7.04,5.69,6.76,6.42,"['Aldrian Foo', 'TJ Tham']",0
The Battery Recycling Company,Energy,0,0,"Europe, Middle East, and Africa (EMEA)",1/4/2022 0:00,2022,Lucas Josten,1,0,0,—,1,1,0,2,0,—,—,"Eastbourne, East Sussex, United Kingdom",3/14/2024 0:00,United Kingdom,0,0,0,4.87,3.94,5.26,4.66,3.24,4.87,4.28,5.68,5.1,4.63,5.53,5.1,['Lucas Josten'],0
DrumCV,"SaaS, Software",0,1,Western US,1/5/2022 0:00,2022,"Carlos Kemeny, Dylan Schorer",1,0,0,760157,1,1,0,0,0,1,—,"Pleasant Grove, Utah, United States",12/31/2023 0:00,United States,1,0,0,6,3.85,4.78,4.04,3.53,4.71,4.13,6.35,5.37,4.86,7.44,7.04,"['Carlos Kemeny', 'Dylan Schorer']",0
Pyme,"Cryptocurrency, Information Technology, Software, Web3",0,1,"Greater Philadelphia Area, East Coast, Southern US",2/1/2022 0:00,2022,Simon Mitchell,1,0,0,—,1,1,0,1,0,2.29,—,"New Castle, Delaware, United States",6/12/2024 0:00,United States,1,0,0,6,3.85,4.78,4.04,3.53,4.71,4.13,6.35,5.37,4.86,7.44,7.04,['Simon Mitchell'],0
Sync(YC W22),"B2B, SaaS, Sales Automation, Scheduling",0,1,Asia-Pacific (APAC),2/14/2022 0:00,2022,MJ Kim,9,0,0,"₩4,800,000,000",4,1,0,0,0,—,—,"Seoul, Seoul-t'ukpyolsi, South Korea",6/30/2023 0:00,South Korea,0,1,0,5.22,6.17,5.89,6.18,4.59,5.08,4.89,5.19,7.8,4.91,7.4,5.89,['MJ Kim'],0
Bunnii,"Electronic Health Record (EHR), Fertility, Health Care, mHealth, Personal Health, Women's",0,1,"Greater New York Area, East Coast, Northeastern US",3/1/2022 0:00,2022,—,1,0,0,10000,1,1,0,0,0,—,—,"New York, New York, United States",6/6/2023 0:00,United States,1,0,0,6,3.85,4.78,4.04,3.53,4.71,4.13,6.35,5.37,4.86,7.44,7.04,[],0
Godmode,"Advertising Platforms, Blockchain, Business Intelligence, Software, Web3",0,1,"Europe, Middle East, and Africa (EMEA)",3/7/2022 0:00,2022,Mert Deveci,7,0,0,6740000,3,1,0,2,0,2.63,—,"Bury Saint Edmunds, Suffolk, United Kingdom",5/1/2025 0:00,United Kingdom,0,0,0,4.87,3.94,5.26,4.66,3.24,4.87,4.28,5.68,5.1,4.63,5.53,5.1,['Mert Deveci'],0
Wing Cloud,"Cloud Computing, Cloud Infrastructure, Cloud Management, Cloud Security, Developer Tools, Open Source, PaaS, Simulation, Software, Software Engineering",0,1,"Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",4/1/2022 0:00,2022,"Elad Ben Israel, Shai Ber",11,0,0,20000000,1,1,0,12,0,3.46,—,"Tel Aviv, Tel Aviv, Israel",4/9/2025 0:00,Israel,0,0,1,4.85,6.33,6.55,6.49,7.58,5.99,6.62,4.83,4.5,6.93,3.59,2.49,"['Elad Ben Israel', 'Shai Ber']",0
Enco,"Energy, Energy Efficiency, Energy Management, Renewable Energy, Solar",0,1,"European Union (EU), Europe, Middle East, and Africa (EMEA)",4/4/2022 0:00,2022,"Duccio Baldi, Tommaso Tiozzo Bastianello",2,0,0,126119,2,1,0,8,0,—,—,"Firenze, Toscana, Italy",2023,Italy,0,0,0,4.33,4.15,3.6,4.12,2.83,4.28,3.92,4.98,4.87,3.92,5.08,4.43,"['Duccio Baldi', 'Tommaso Tiozzo Bastianello']",0
Booth AI,"Artificial Intelligence (AI), Generative AI, Information Technology, Software",0,1,"San Francisco Bay Area, West Coast, Western US",4/6/2022 0:00,2022,"Ian Baldwin, Nick Locascio",8,0,2,3270000,4,1,0,2,0,1.23,—,"San Francisco, California, United States",8/1/2023 0:00,United States,1,0,0,6,3.85,4.78,4.04,3.53,4.71,4.13,6.35,5.37,4.86,7.44,7.04,"['Ian Baldwin', 'Nick Locascio']",0
NoCap Meta,"Artificial Intelligence (AI), Software, Virtual Reality",0,1,Asia-Pacific (APAC),4/8/2022 0:00,2022,"Aahan Dogra, Shekhar Chatterjee",1,0,0,250000,1,1,0,10,0,1.03,—,"Bangalore, Karnataka, India",10/1/2024 0:00,India,0,1,0,5.95,6.62,6.21,6.3,5.67,5.57,5.73,5.91,6.99,6.01,6.65,6.26,"['Aahan Dogra', 'Shekhar Chatterjee']",0
Versify Labs,"Analytics, Artificial Intelligence (AI), Business Intelligence, SaaS",0,1,"Greater New York Area, East Coast, Northeastern US",4/25/2022 0:00,2022,Troy Smith,2,0,0,—,2,1,0,2,0,—,—,"New York, New York, United States",12/31/2023 0:00,United States,1,0,0,6,3.85,4.78,4.04,3.53,4.71,4.13,6.35,5.37,4.86,7.44,7.04,['Troy Smith'],0
MaMome,"Artificial Intelligence (AI), Biotechnology, Health Care, Medical Device",0,1,"Greater New York Area, East Coast, Northeastern US",5/1/2022 0:00,2022,Nini Fan,1,0,0,300000,1,1,0,0,1,—,—,"Brooklyn, New York, United States",—,United States,1,0,0,6,3.85,4.78,4.04,3.53,4.71,4.13,6.35,5.37,4.86,7.44,7.04,['Nini Fan'],0
Codejet,"Information Technology, Software, Web Design, Web Development",0,1,"San Francisco Bay Area, West Coast, Western US",5/5/2022 0:00,2022,"Daniel Niedzielak, Patryk Pijanowski, Sebastian Kurzynowski",5,0,0,1320000,4,1,0,0,0,2.73,—,"San Francisco, California, United States",12/1/2024 0:00,United States,1,0,0,6,3.85,4.78,4.04,3.53,4.71,4.13,6.35,5.37,4.86,7.44,7.04,"['Daniel Niedzielak', 'Patryk Pijanowski', 'Sebastian Kurzynowski']",0
Unison Risk Advisors,"Financial Services, Insurance, Property Insurance",0,0,"Great Lakes, Midwestern US",5/6/2022 0:00,2022,KENNETH AHRENS STEVEN,1,0,0,—,1,1,0,7,0,—,—,"Cleveland, Ohio, United States",—,United States,1,0,0,6,3.85,4.78,4.04,3.53,4.71,4.13,6.35,5.37,4.86,7.44,7.04,['KENNETH AHRENS STEVEN'],0
SynRx,"Alternative Medicine, Biotechnology, Life Science, Medical",0,0,Asia-Pacific (APAC),5/25/2022 0:00,2022,—,1,1,0,"₩300,000,000",1,1,0,0,0,—,—,"Seoul, Seoul-t'ukpyolsi, South Korea",2/3/2025 0:00,South Korea,0,1,0,5.22,6.17,5.89,6.18,4.59,5.08,4.89,5.19,7.8,4.91,7.4,5.89,[],0
Stackflows,"Data Integration, Data Visualization, Industrial Automation, PaaS, SaaS, Small and Medium Businesses, Software",0,1,"European Union (EU), Europe, Middle East, and Africa (EMEA)",6/1/2022 0:00,2022,Sarunas Strasevicius,1,0,0,100000,1,1,0,0,0,—,—,"Kaunas, Kauno Apskritis, Lithuania",12/1/2024 0:00,Lithuania,0,0,0,5.74,5.6,5.93,6.01,4.79,5.36,5.31,6.39,5.5,5.52,7.74,6.43,['Sarunas Strasevicius'],0
BixBeta Inc,"Accounting, Blockchain, Cryptocurrency, FinTech, Payments, SaaS, Software",0,1,"Greater New York Area, East Coast, Northeastern US",6/13/2022 0:00,2022,"Kate Koraia, Lev Selector",2,0,0,285000,2,1,0,0,1,1,—,"New York, New York, United States",4/22/2024 0:00,United States,1,0,0,6,3.85,4.78,4.04,3.53,4.71,4.13,6.35,5.37,4.86,7.44,7.04,"['Kate Koraia', 'Lev Selector']",0
Nomadreaming,"Hospitality, Lifestyle",0,0,"Greater Philadelphia Area, East Coast, Southern US",7/1/2022 0:00,2022,"Adolfo Díaz Gramont, Elizabeth Milicich, José Castillo",1,0,0,250000,1,1,0,1,1,—,—,"Wilmington, Delaware, United States",9/13/2023 0:00,United States,1,0,0,6,3.85,4.78,4.04,3.53,4.71,4.13,6.35,5.37,4.86,7.44,7.04,"['Adolfo Díaz Gramont', 'Elizabeth Milicich', 'José Castillo']",0
CausalTwin,"3D Technology, Aerospace, Computer Vision, Drones, Industrial, Mapping Services",0,0,"San Francisco Bay Area, West Coast, Western US",7/21/2022 0:00,2022,"Ghassan Oueidat, Kyle Orciuch, Shubh Gupta",3,0,0,37500,1,1,0,0,0,—,—,"San Francisco, California, United States",—,United States,1,0,0,6,3.85,4.78,4.04,3.53,4.71,4.13,6.35,5.37,4.86,7.44,7.04,"['Ghassan Oueidat', 'Kyle Orciuch', 'Shubh Gupta']",0
